         51063467 function calls (49002903 primitive calls) in 436.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      378    0.022    0.000    2.007    0.005 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\bart\modeling_bart.py:996(forward)
 32216578    1.990    0.000    1.990    0.000 {method 'startswith' of 'str' objects}
    29252    0.309    0.000    1.932    0.000 {built-in method numpy.array}
    13788    1.854    0.000    1.854    0.000 {built-in method torch._C._nn.scaled_dot_product_attention}
     4536    0.149    0.000    1.837    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\bart\modeling_bart.py:549(forward)
    29547    0.960    0.000    1.698    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\modeling_utils.py:570(<setcomp>)
       77    0.011    0.000    1.622    0.021 C:\Projects\form-sage\.venv310\lib\site-packages\PIL\Image.py:671(__array_interface__)
       77    0.057    0.001    1.610    0.021 C:\Projects\form-sage\.venv310\lib\site-packages\PIL\Image.py:711(tobytes)
      756    1.590    0.002    1.609    0.002 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\modeling_attn_mask_utils.py:425(_prepare_4d_attention_mask_for_sdpa)
    23048    0.774    0.000    1.600    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\module.py:1953(_load_from_state_dict)
        5    0.000    0.000    1.553    0.311 C:\Projects\form-sage\.venv310\lib\site-packages\google\genai\files.py:603(_create)
296609/29815    0.446    0.000    1.526    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\module.py:1824(state_dict)
     7146    0.651    0.000    1.495    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\tools\infer\predict_rec.py:178(resize_norm_img)
    29547    0.698    0.000    1.404    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\modeling_utils.py:702(<listcomp>)
       67    0.015    0.000    1.327    0.020 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\ppocr\postprocess\db_postprocess.py:227(__call__)
       67    0.183    0.003    1.312    0.020 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\ppocr\postprocess\db_postprocess.py:109(boxes_from_bitmap)
       67    0.001    0.000    1.047    0.016 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\xlm_roberta\modeling_xlm_roberta.py:807(__init__)
        1    1.013    1.013    1.013    1.013 {built-in method time.sleep}
       67    0.000    0.000    1.007    0.015 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\xlm_roberta\modeling_xlm_roberta.py:582(__init__)
       67    0.001    0.000    1.001    0.015 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\xlm_roberta\modeling_xlm_roberta.py:585(<listcomp>)
